province,municipality,id,primary,secondary,lat,lng,precise,contact
Abra,BANGUED,"BANGUED, Abra",COMELEC Office BANGUED,"2/F TLDC Building, Abra Capitol Compound, Zone 5 bangued, Abra",17.5965664,120.6179987,FALSE,
Abra,BOLINEY,"BOLINEY, Abra",COMELEC Office BOLINEY,"Poblacion, Boliney, Abra",17.3790583,120.8198364,FALSE,
Abra,BUCAY,"BUCAY, Abra",COMELEC Office BUCAY,"Poblacion, Bucay, Abra",17.5384336,120.7187526,FALSE,
Abra,BUCLOC,"BUCLOC, Abra",COMELEC Office BUCLOC,"Poblacion, Bucloc, Abra",17.4409401,120.8572514,FALSE,
Abra,DAGUIOMAN,"DAGUIOMAN, Abra",COMELEC Office DAGUIOMAN,"Poblacion, Daguioman, Abra",17.458889,120.9262943,FALSE,
Abra,DANGLAS,"DANGLAS, Abra",COMELEC Office DANGLAS,"Cabaruan, Danglas, Abra",17.6933042,120.6644745,FALSE,
Abra,DOLORES,"DOLORES, Abra",COMELEC Office DOLORES,"Poblacion, Dolores, Abra",17.6490473,120.7086252,FALSE,
Abra,LA PAZ,"LA PAZ, Abra",COMELEC Office LA PAZ,"Poblacion, La Paz, Abra",17.6707795,120.6838341,FALSE,
Abra,LACUB,"LACUB, Abra",COMELEC Office LACUB,"Poblacion, Lacub, Abra",17.6643781,120.9456603,FALSE,
Abra,LAGANGILANG,"LAGANGILANG, Abra",COMELEC Office LAGANGILANG,"Poblacion, Lagangilang, Abra",17.6126919,120.7336564,FALSE,
Abra,LAGAYAN,"LAGAYAN, Abra",COMELEC Office LAGAYAN,"Poblacion, Lagayan, Abra",17.720616,120.7059814,FALSE,
Abra,LANGIDEN,"LANGIDEN, Abra",COMELEC Office LANGIDEN,"Poblacion, Langiden, Abra",17.5761072,120.563939,FALSE,
Abra,LICUAN BAAY,"LICUAN BAAY, Abra",COMELEC Office LICUAN BAAY,"Poblacion, Licuanbaay, Abra",17.6090816,120.9054377,FALSE,
Abra,LUBA,"LUBA, Abra",COMELEC Office LUBA,"Poblacion, Luba, Abra",17.3173222,120.6946459,FALSE,
Abra,MALIBCONG,"MALIBCONG, Abra",COMELEC Office MALIBCONG,"Poblacion, Malibcong, Abra",17.563315,120.9890692,FALSE,
Abra,MANABO,"MANABO, Abra",COMELEC Office MANABO,"Poblacion, Manabo, Abra",17.4325474,120.7041038,FALSE,
Abra,PENARRUBIA,"PENARRUBIA, Abra",COMELEC Office PENARRUBIA,"Poblacion, Penarrubia, Abra",17.5638344,120.652673,FALSE,
Abra,PIDIGAN,"PIDIGAN, Abra",COMELEC Office PIDIGAN,"Poblacion, Pidigan, Abra",17.570304,120.5899441,FALSE,
Abra,PILAR,"PILAR, Abra",COMELEC Office PILAR,"Poblacion, Pilar, Abra",17.4152463,120.5954528,FALSE,
Abra,SALLAPADAN,"SALLAPADAN, Abra",COMELEC Office SALLAPADAN,"Poblacion, Sallapadan, Abra",17.4551443,120.7599337,FALSE,
Abra,SAN ISIDRO,"SAN ISIDRO, Abra",COMELEC Office SAN ISIDRO,"Poblacion, San Isidro, Abra",17.4656098,120.6017435,FALSE,
Abra,SAN JUAN,"SAN JUAN, Abra",COMELEC Office SAN JUAN,"San Juan, Abra",17.682288,120.7306199,FALSE,
Abra,SAN QUINTIN,"SAN QUINTIN, Abra",COMELEC Office SAN QUINTIN,"Villa Mercedes, San Quintin, Abra",17.5427457,120.5203211,FALSE,
Abra,TAYUM,"TAYUM, Abra",COMELEC Office TAYUM,"Poblacion, Tayum, Abra",17.6180712,120.6535488,FALSE,
Abra,TINEG,"TINEG, Abra",COMELEC Office TINEG,"Vira, Tineg, Abra",17.7829065,120.943593,FALSE,
Abra,TUBO,"TUBO, Abra",COMELEC Office TUBO,"Poblacion, Tubo, Abra",17.2582154,120.7248438,FALSE,
Abra,VILLAVICIOSA,"VILLAVICIOSA, Abra",COMELEC Office VILLAVICIOSA,"Poblacion, Villavisciosa, Abra",17.4378456,120.6256845,FALSE,
Agusan Del Norte,Buenavista,"Buenavista, Agusan Del Norte",COMELEC Office Buenavista,"2nd Flr. Municipal Building, P2, JP Rizal Aven., Brgy. 3, Buenavista, Agusan del Norte",8.9744864,125.4090875,TRUE,
Agusan Del Norte,Butuan City,"Butuan City, Agusan Del Norte",COMELEC Office Butuan City,"2nd Flr., PIA Bldg., J.Rosales Ave., Brgy. Bayanihan, Butuan City",8.9483324,125.5369442,FALSE,
Agusan Del Norte,Cabadbaran City,"Cabadbaran City, Agusan Del Norte",COMELEC Office Cabadbaran City,"City Government Complex, Brgy. 9, Cabadbaran City",9.1232986,125.5322203,FALSE,
Agusan Del Norte,Carmen,"Carmen, Agusan Del Norte",COMELEC Office Carmen,"2nd Flr., Municipal Bldg., Brgy.Poblacion, Carmen, Agusan del Norte",8.9902238,125.2957173,TRUE,
Agusan Del Norte,Jabonga,"Jabonga, Agusan Del Norte",COMELEC Office Jabonga,"Old DA Bldg., P1, Brgy. Poblacion, Jabonga, Agusan del Norte",9.3425441,125.5163749,FALSE,
Agusan Del Norte,Kitcharao,"Kitcharao, Agusan Del Norte",COMELEC Office Kitcharao,"2nd Flr. , Land Transportation Terminal Bldg., P6, Brgy. Songkoy, Kitcharao, Agusan del Norte",9.4554207,125.5755314,FALSE,
Agusan Del Norte,Las Nieves,"Las Nieves, Agusan Del Norte",COMELEC Office Las Nieves,"Ground Flr., Municipal Bldg, P4, Brgy. Poblacion, Las Nieves, Agusan del Norte",8.7359578,125.6015136,TRUE,
Agusan Del Norte,Magallanes,"Magallanes, Agusan Del Norte",COMELEC Office Magallanes,"Annex Bldg., P3, Poblacion, Magallanes, Agusan del Norte",9.0237073,125.5185124,FALSE,
Agusan Del Norte,Nasipit,"Nasipit, Agusan Del Norte",COMELEC Office Nasipit,"Rizal St. Dist.7, Old RHU Bldg.,Brgy. Triangulo, Nasipit, Agusan del Norte",8.9884377,125.3408268,FALSE,
Agusan Del Norte,Remedios T Romualdez,"Remedios T Romualdez, Agusan Del Norte",COMELEC Office Remedios T Romualdez,"Municipal Compound, P1, Brgy. Poblacion, R.T.Romualdez, Agusan del Norte",9.0518496,125.5850066,TRUE,
Agusan Del Norte,Santiago,"Santiago, Agusan Del Norte",COMELEC Office Santiago,"SB Bldg., Zone 3, Brgy. Poblacion 2, Santiago, Agusan del Norte",9.2654938,125.5602995,FALSE,
Agusan Del Norte,Tubay,"Tubay, Agusan Del Norte",COMELEC Office Tubay,"Ground Flr., Municipal Bldg., Brgy. Poblacion 2, Tubay, Agusan del Norte",9.1650676,125.5226912,TRUE,
Agusan Del Sur,BAYUGAN CITY,"BAYUGAN CITY, Agusan Del Sur",COMELEC Office BAYUGAN CITY,"OEOBayugan City City Hall Compound, Poblacion, Bayugan City, Agusan del Sur",8.7145642,125.7481892,TRUE,
Agusan Del Sur,BUNAWAN,"BUNAWAN, Agusan Del Sur",COMELEC Office BUNAWAN,"OEO  Bunawan P4 San Teodoro, Municipal Building, Bunawan, Agusan del Sur",8.1787968,125.9942065,TRUE,
Agusan Del Sur,ESPERANZA,"ESPERANZA, Agusan Del Sur",COMELEC Office ESPERANZA,"OEO  Esperanza P9, Barangay Poblacion, Mancumbati Building, Esperanza, Agusan del Sur",8.6788385,125.646773,FALSE,
Agusan Del Sur,LA PAZ,"LA PAZ, Agusan Del Sur",COMELEC Office LA PAZ,"OEO La Paz P4A Poblacion, Municipal Compound, La Paz, Agusan del Sur",8.2793752,125.810733,TRUE,
Agusan Del Sur,LORETO,"LORETO, Agusan Del Sur",COMELEC Office LORETO,"OEOLoreto Old Municipal Building, P4, Poblacion, Loreto, Agusan del Sur",8.1871373,125.8531529,TRUE,
Agusan Del Sur,PROSPERIDAD,"PROSPERIDAD, Agusan Del Sur",COMELEC Office PROSPERIDAD,"OEOProsperidad Municpal Building, P15, Poblacion, Prosperidad, Agusan del Sur",8.6023961,125.9116338,TRUE,
Agusan Del Sur,ROSARIO,"ROSARIO, Agusan Del Sur",COMELEC Office ROSARIO,"OEORosario ABC/PLEB Building, P1, Poblacion, Rosario, Agusan del Sur",8.3814612,126.0018294,FALSE,
Agusan Del Sur,SAN FRANCISCO,"SAN FRANCISCO, Agusan Del Sur",COMELEC Office SAN FRANCISCO,"OEOSan Francisco P3, Barangay 3, San Francisco, Agusan del Sur",8.5050281,125.9771179,FALSE,
Agusan Del Sur,SAN LUIS,"SAN LUIS, Agusan Del Sur",COMELEC Office SAN LUIS,"OEOSan Luis Old Municipal Building, P6, Dona Maxima, San Luis, Agusan del Sur",8.4992979,125.7359381,TRUE,
Agusan Del Sur,Santa Josefa,"Santa Josefa, Agusan Del Sur",COMELEC Office Santa Josefa,"OEOSta. Josefa Municipal Building, P9 Poblacion, Sta. Josefa, Agusan del Sur",7.9844761,126.0288095,TRUE,
Agusan Del Sur,SIBAGAT,"SIBAGAT, Agusan Del Sur",COMELEC Office SIBAGAT,"OEOSibagat Municipal Compound, P2, Poblacion, Sibagat, Agusan del Sur",8.8219764,125.6938266,TRUE,
Agusan Del Sur,TALACOGON,"TALACOGON, Agusan Del Sur",COMELEC Office TALACOGON,"OEOTalacogon Municipal Building, Purok Bougainvilla, San Agustin, Talacogon, Agusan del Sur",8.4529061,125.7843152,TRUE,
Agusan Del Sur,TRENTO,"TRENTO, Agusan Del Sur",COMELEC Office TRENTO,"OEOTrento P5, Municipal Compound, Barangay Poblacion, Trento, Agusan del Sur",8.043508,126.0633157,TRUE,
Agusan Del Sur,VERUELA,"VERUELA, Agusan Del Sur",COMELEC Office VERUELA,"OEOVeruela Municipal Gymnasium, P4 Poblacion, Veruela, Agusan del Sur",8.0710344,125.9540733,TRUE,
Aklan,Altavas,"Altavas, Aklan",COMELEC Office Altavas,"Municipal Hall, Altavas, Aklan",11.5375818,122.4871569,TRUE,(036) 2691402
Aklan,Balete,"Balete, Aklan",COMELEC Office Balete,"Municipal Hall, Balete, Aklan",11.5563901,122.3796198,TRUE,
Aklan,Banga,"Banga, Aklan",COMELEC Office Banga,"2nd Floor, Municipal Hall, Banga, Aklan",11.6393771,122.332585,TRUE,
Aklan,Batan,"Batan, Aklan",COMELEC Office Batan,"Old Municipal Hall, Poblacion, Batan, Aklan",11.5869107,122.4962482,TRUE,
Aklan,Buruanga,"Buruanga, Aklan",COMELEC Office Buruanga,"Municipal Hall, Poblacion, Buruanga, Aklan",11.8444711,121.8882356,TRUE,
Aklan,Ibajay,"Ibajay, Aklan",COMELEC Office Ibajay,"Municipal Hall, Poblacion, Ibajay, Aklan",11.8211075,122.1618399,TRUE,362892228
